Lincoln Financial Field,19148
Nissan Stadium,37213
L&N Federal Credit Union Stadium,40209
Huntington Bank Stadium,55455
Soldier Field,60605
Ford Field,48226
MetLife Stadium,07073
Gillette Stadium,02035
FedExField,20785
Bank of America Stadium,28202
Mercedes-Benz Stadium,30313
Raymond James Stadium,33607
Hard Rock Stadium,33056
The Dome at America's Center,63101
State Farm Stadium,85305
Allegiant Stadium,89118
Levi's Stadium,95054
SoFi Stadium,90301
BC Place,98230
Lumen Field,98134
AT&T Stadium,76011
NRG Stadium,77054
Caesars Superdome,70112
GEHA Field at Arrowhead Stadium,64129