Seattle,KeyArena,10579,98109
New York City,Madison Square Garden,27580,10001
Baltimore,1st Mariner Arena,8619,21201
Washington D.C.,Verizon Center,12993,20004
Philadelphia,Wachovia Center,14971,19148
Greensboro,Greensboro Coliseum,10600,27403
Sunrise,BankAtlantic Center,11711,33323
Atlanta,Philips Arena,15709,30303
Houston,Toyota Center,12431,77002
Dallas,American Airlines Center,11319,75219
Phoenix,US Airways Center,8831,85004
Oakland,Oracle Arena,10250,94621
Anaheim,Honda Center,9924,92806
Los Angeles,Staples Center,12738,90015
Minneapolis,Target Center,6856,55403
Chicago,United Center,13852,60612
Auburn Hills,The Palace of Auburn Hills,13540,48326
Uncasville,Mohegan Sun Arena,4444,06382