Los Angeles,Staples Center,14045,90015
Las Vegas,MGM Grand Garden Arena,12913,89109
Los Angeles,Staples Center,13715,90015
San Jose,SAP Center,12304,95113
Oklahoma City,Chesapeake Energy Arena,11746,73102
Dallas,American Airlines Center,13758,75219
New Orleans,Mercedes-Benz Superdome,38441,70112
Sunrise,BB&T Center,12269,33323
Miami,American Airlines Arena,13323,33132
Duluth,The Arena at Gwinnett Center,10662,30097
Nashville,Bridgestone Arena,14233,37203
Houston,Toyota Center,11935,77002
Chicago,United Center,14154,60612
Saint Paul,Xcel Energy Center,14187,55102
Auburn Hills,The Palace of Auburn Hills,13901,48326
Boston,TD Garden,12911,02114
Philadelphia,Wells Fargo Center,14671,19148
Atlantic City,Boardwalk Hall,12788,08401
Charlotte,Time Warner Cable Arena,14355,28202
Washington D.C.,Verizon Center,27133,20004
East Rutherford,Izod Center,14264,07073
Uncasville,Mohegan Sun Arena,7473,06382
New York City,Barclays Center,41907,11217
San Jose,SAP Center,11972,95113
Los Angeles,Staples Center,13982,90015
Las Vegas,MGM Grand Garden Arena,12811,89109
Phoenix,Talking Stick Resort Arena,10752,85004
Dallas,American Airlines Center,12011,75219
Houston,Toyota Center,11936,77002
Louisville,KFC Yum! Center,14979,40202
Chicago,United Center,14005,60612
St. Louis,Scottrade Center,14079,63103
Washington D.C.,Verizon Center,14074,20004
New York City,Barclays Center,27760,11217
Boston,TD Garden,13003,02114